pump_id,brand,model,type,min_flow_gpm,max_flow_gpm,min_head_ft,max_head_ft,rated_power_w,voltage_v,efficiency_percent,price_usd,description,voltage_class,requires_inverter,mppt_compatible
P001,Grundfos,SQFlex 0.6-2,submersible,0.0,9.5,16.4,196.9,150,24-300,40,850,Small solar submersible — boreholes up to 197 ft
P002,Grundfos,SQFlex 2.5-2,submersible,0.0,39.6,16.4,393.7,300,24-300,45,1250,Mid-range solar submersible — up to 394 ft head
P003,Grundfos,SQFlex 5A-6,submersible,0.0,79.3,16.4,262.5,550,24-300,48,1850,High-flow solar submersible — 262 ft max head
P004,Grundfos,SQFlex 11A-3,submersible,0.0,174.4,16.4,147.6,1100,24-300,50,2900,Very high volume — shallow head applications
P005,Lorentz,PS150 C-SJ3-5,submersible,1.3,39.6,32.8,147.6,150,24-48,44,780,Entry-level Lorentz solar submersible
P006,Lorentz,PS200 HR-07,submersible,1.3,52.8,32.8,229.7,200,24-48,42,980,Lorentz budget solar submersible
P007,Lorentz,PS600 HR-13,submersible,2.6,158.5,32.8,426.5,600,24-96,50,2600,Lorentz mid-range — excellent head range
P008,Lorentz,PS1200 HR-46,submersible,5.3,317.0,32.8,492.1,1200,48-96,52,4400,High-capacity Lorentz — large irrigation
P009,Franklin Electric,4400SS-4P05,submersible,0.0,66.0,32.8,196.9,375,220-240,55,820,AC/solar-compatible submersible — high efficiency
P010,Franklin Electric,4400SS-4P10,submersible,0.0,105.7,32.8,262.5,750,220-240,54,1400,Higher-power Franklin solar/AC model
P011,Shakti,3SP5-15,submersible,7.9,132.1,49.2,492.1,750,200-240,52,620,Indian market — cost-effective large capacity
P012,Shakti,2SP3-10,submersible,5.3,79.3,32.8,328.1,550,200-240,50,480,Mid-range Shakti submersible
P013,CRI,SPDS-2,submersible,0.0,52.8,16.4,328.1,400,24-48,46,920,CRI compact solar submersible
P014,CRI,SPDS-5,submersible,0.0,132.1,16.4,262.5,900,48-96,47,1600,CRI high-flow solar submersible
P015,Kirloskar,SOLAR3W04,surface,13.2,105.7,0.0,98.4,300,24-48,45,720,Solar surface pump — low head high flow
P016,Kirloskar,SOLAR5W06,surface,21.1,158.5,0.0,82.0,500,24-96,46,1100,Large solar surface pump for irrigation
P017,DAB,DIVERTRON 1200,submersible,0.0,47.6,16.4,229.7,1200,220-240,56,1350,European premium efficiency
P018,Pedrollo,4SR 2/14,submersible,0.0,31.7,65.6,393.7,750,220-240,53,1100,Italian quality — high head capability
P019,Grundfos,CM 3-5,surface,0.0,79.3,0.0,131.2,370,220-240,55,780,Surface centrifugal — AC/solar hybrid
P020,Generic Solar,SS-100W-60M,submersible,0.0,26.4,16.4,196.9,100,24-48,38,350,Budget generic solar submersible
15TBS-4C-AC,Thunderbird,15TBS-4C,submersible,0.0,30.0,0.0,600.0,2800,220,60,1000,Test Pump,ac,1,1
